age,average_mark,gender,phone_number,first_name,second_name
22,8.6,m,6246471345,Willie,Gray
25,6.09,f,8037708245,Phyllis,Deloach
20,9.31,m,8803925100,Dewey,Killingsworth
29,8.39,f,4472409941,Patricia,Daniels
19,9.63,f,5054192772,Anne,Mandrell
30,8.86,m,8643631427,Verdell,Crawford
24,5.78,m,8985151736,Mario,Lilley
25,9.01,m,8418046706,Francisco,Jones
29,4.34,m,3878412045,Donald,Laurent
27,8.11,f,4260617373,Denise,Via
19,6.65,m,4217774633,Scott,Lange
30,7.53,f,3187348469,Brenda,Silva
29,6.72,m,6196133905,James,Ross
18,7.05,f,9870085232,Kimberly,Brown
25,4.25,f,3788926313,Heather,Winnike
25,7.85,m,8087799941,Benjamin,Getty
26,9.52,f,9184878376,Linda,Crider
18,4.01,m,9385193291,Garrett,Mitchell
28,5.28,m,7881594996,Thomas,Roberts
29,9.09,f,5445933080,Pauline,Montoya
27,6.52,f,2832611556,Georgia,Wilson
23,8.09,f,3091173449,Roberta,Kelly
22,7.54,m,9441885004,Johnny,Jennings
28,4.43,f,9858901568,Sherry,Grant
29,7.55,m,6116837235,Andrew,Schmidt
20,6.49,f,7805852643,Carole,Tewani
23,6.79,f,6402881759,Linda,Miller
30,9.77,f,5120417549,Mary,Glasser
21,7.59,f,3844846365,Ruby,Greig
26,4.08,f,9241601427,Rosie,Watkins
26,6.94,f,4566942944,Wilma,Dominguez
20,9.67,m,1336752220,Daniel,Youd
24,9.92,f,5010540752,Tamara,Harris
24,9.54,m,3980798750,Arnoldo,Ewert
18,8.5,m,2813317023,John,Velazquez
30,4.15,m,6716143273,Audrey,Camille
18,6.5,f,7778623354,Helen,Klein
22,8.48,m,8439150246,Eric,Ruegg
22,5.81,f,4626337186,Vera,Charles
28,9.85,f,5459343474,Annie,Sudbeck
20,5.8,m,8255548593,Michael,Clark
30,4.17,f,3322765487,Rosa,Thomas
22,4.12,f,4921936291,Daisy,Granados
18,5.74,f,3259731324,Betty,Mabry
26,8.26,m,2965177678,Bertha,Gary
21,8.89,f,1937485306,Vickie,Laigo
24,9.07,m,7330004243,Richard,Grant
27,9.96,f,1579591606,Linda,Harrison
18,5.31,f,9490198025,Phyllis,Cole
25,7.79,m,2628214851,Devin,Spencer
28,9.94,m,6367452828,George,Guest
30,9.87,f,3832419748,Kim,Pyles
18,9.75,m,6060721336,Kristin,Dean
21,9.19,f,4236744613,Clarence,Cantu
21,4.86,m,6638426503,Kenneth,Evans
24,9.65,f,8213189156,Frank,Borgeson
24,8.42,f,6429782412,Richard,Grossman
29,4.26,m,9459978856,Ann,White
22,9.29,f,7170476576,Virginia,Harris
28,9.12,m,2512716284,Maria,Benear
30,9.47,m,2386601667,George,Leno
21,8.86,f,5901479519,Richard,Hamrick
21,9.61,f,1355189684,Tony,Engel
25,8.95,f,1561644009,Scott,Miller
29,7.8,m,1319014109,Bridget,Cotter
30,8.45,f,6033844080,Terry,Major
29,8.39,m,6998464338,Maria,Boswell
27,4.15,f,9835734824,Ronald,Oliver
20,5.64,f,9272771611,Delilah,Howard
22,5.41,f,9521972460,Jose,Paul
26,8.81,f,6714635834,Francisco,Miller
25,9.58,f,1530787539,Josephine,Perkins
28,7.04,f,5102794560,Gerald,Murray
22,6.79,f,4411222680,Janee,Bailey
30,7.6,m,9171031740,Martha,Pitcher
24,4.62,m,9600491647,Renee,Pagan
28,6.6,m,2534406642,Kenneth,Rummel
30,8.18,f,8455833783,Doretha,Ferguson
24,5.15,m,5035607898,Donald,Luevano
27,9.54,f,9628248992,Valerie,Mondragon
19,6.36,m,8511521942,Gladys,Gomez
22,4.4,m,3761455642,Christin,Cross
22,5.73,f,3216905582,Robert,Birmingham
27,6.52,f,9521614270,Willie,Eskridge
23,10.0,f,2565902390,Josephina,Medina
27,7.61,f,5455226527,Burl,Navarro
29,9.83,m,8515249026,Lila,Hill
20,9.41,m,2943201192,David,Roberts
23,8.16,f,3170373626,Travis,Rhyne
21,4.99,m,8917586650,Robert,Kirkland
24,8.33,f,3184211345,John,Torres
23,8.16,m,4352974810,Cindy,Nilson
21,4.37,f,7363981712,Steven,Lawson
23,8.91,m,6903932664,Sylvia,Kuhn
28,7.76,f,3964544530,Richard,Crawford
28,5.83,m,8582527978,Fred,Maestas
22,8.49,m,4053889089,Janie,Waterman
28,7.51,m,7361055446,Paula,Morales
27,8.47,m,4690049323,Lawrence,Bentson
18,9.71,f,8481085776,Hattie,Bramer
20,5.79,f,7527491324,Cynthia,Beegle
26,7.16,m,1088135390,Sarah,Martindale
26,6.26,m,9971448978,Shawn,Bonifacio
29,8.01,f,2696785471,Lena,Weston
23,9.65,f,8894573387,Joyce,Beatty
22,8.26,f,1117473242,Juan,Dunn
20,9.63,m,3926175413,Barry,Mckenzie
21,5.73,f,8275335634,Doris,Kuck
21,5.0,m,9274320474,Kim,Cohran
25,7.14,m,3792870221,Robert,Martin
25,9.67,f,6086595439,George,Jackson
19,7.08,m,2643419658,David,Hayden
20,4.7,f,4382915215,David,Barnas
30,9.22,f,7507862933,Amada,Duncan
28,6.82,m,9452680400,Kathryn,Harryman
26,7.02,m,3697666607,Janette,Law
21,5.36,m,3871751991,Tonja,Bull
25,6.54,m,4951632361,Alissa,Belyoussian
26,8.37,f,5939961479,Lou,Bible
18,6.26,m,3272540774,Marc,Bibbs
18,6.48,f,2473428054,Arthur,Kuhl
23,6.83,m,2205967433,Martha,Woods
20,6.36,f,2371072844,Jeffrey,Petty
21,7.81,f,8093556900,Harry,Dampeer
18,9.2,m,1415324496,Wesley,Wolf
28,7.42,f,2989222398,Elizabeth,Lowe
26,6.27,m,3086053155,Marvin,Silvas
19,7.21,m,4650519589,Donald,Hardnett
27,9.36,f,7117382608,Michael,Mcdonald
23,5.24,f,5720806238,Edna,Mahoney
18,7.98,f,4275998373,Deborah,Penn
22,4.28,m,1598503794,Ethel,Disher
23,4.31,f,1663947636,Michael,Jackson
19,6.53,m,4553855837,Kevin,Houston
28,6.57,f,5908792570,Margaret,Branstetter
27,7.35,f,2649280351,Billy,Henry
25,8.54,f,2226067563,Christopher,Mcintire
21,7.13,f,7024325621,Amy,Martin
27,5.11,f,0,Stephanie,Grose
30,8.9,f,7748321607,Deanna,Kathan
26,8.33,m,9586851860,Ann,Arteaga
29,6.27,f,2751453133,David,Goins
21,5.24,m,1465468557,Paul,Alexander
18,8.88,m,6513312189,Robert,Parker
27,6.87,m,3150920530,Patricia,York
21,4.17,f,7283192592,Donna,Baker
21,5.92,m,3572330741,Carla,Morris
27,6.59,f,1427581425,John,Hubbard
28,4.68,f,4765609498,Oscar,Linahan
30,6.75,m,8643653232,David,Cain
22,4.74,f,6074915286,Cindy,Oconnor
20,8.21,f,6802212548,Nicholas,Richter
18,8.49,f,8113443656,Faye,Roberge
21,9.9,m,7123540811,Jessica,Keenan
22,4.22,f,2837337833,Rebecca,Garcia
28,9.31,m,2331178324,Esther,Simmering
22,9.91,f,3439387543,Lou,Houston
19,4.09,f,5684472229,Rebecca,Gillies
21,8.87,m,4397956199,Philip,Urbanski
24,5.85,m,1732627003,Teresa,Perkins
25,6.74,f,3692254134,Mary,Holley
19,5.17,m,3603855902,Tricia,Davanzo
26,5.46,f,1515556786,Bridget,Mcneal
27,6.25,m,3356507802,Douglas,Holland
22,5.62,f,3785089778,Justin,Whitmer
18,6.81,f,8124620781,David,Davis
27,8.3,m,3319882395,Frances,Kerr
24,8.32,f,7919911792,Kim,Ellis
21,6.25,m,2292542271,Brian,Brown
22,8.02,m,2462460772,Monica,Lubrano
29,8.43,f,1891806268,Joyce,Skaggs
18,6.81,f,5013755047,Penelope,Fries
26,8.1,f,1926668321,Alice,Randolph
28,9.5,m,1901064305,Jeffrey,Ermitanio
27,9.36,f,3284176443,Stephanie,Davis
30,8.67,m,3942605780,John,Snow
23,8.69,f,3094925710,Barbara,Gott
19,7.66,f,8108527541,Sharon,Deleon
28,7.71,f,1513578312,Rigoberto,Wilenkin
24,5.97,f,5555294033,Mathew,Embree
27,4.85,f,9820371160,Bobby,Walker
27,8.76,f,6450568019,Jacqueline,Macias
27,8.8,m,8993127411,Benjamin,Beck
22,6.99,f,8912098676,Steve,Williams
29,9.68,m,4194911925,James,Elick
20,7.79,m,5350820614,Elva,Diaz
25,6.96,m,6928278727,Terrance,Bruce
24,8.49,f,7668430896,Mark,Pearson
28,8.1,m,6163324911,Arthur,Lowrey
18,4.67,f,1575176356,Scott,Lopez
24,8.95,m,4895740604,Hilario,Lewis
18,8.93,m,7860551543,Esther,Urbancic
20,4.9,f,5137683205,Eric,Long
18,4.48,f,6155628751,Matthew,Perry
18,5.42,f,2404354182,Lois,Alexander
28,6.26,f,2458084560,James,Brokaw
27,8.64,m,6905943011,Donald,Lewis
22,4.73,m,9363449447,Amanda,Gunderson
29,8.58,f,3836987388,Ryan,Henricks
25,5.38,m,5488764653,Michelle,Mori
22,5.69,f,3630251473,Stacy,Erickson
30,4.64,m,2660106693,Kevin,Hadley
23,4.66,f,9365700893,Daniel,Lopez
22,4.53,m,1787903577,Jose,Perez
21,9.88,f,6652883862,Nina,Earp
21,7.53,m,3184426063,Richard,Stellhorn
22,5.92,m,3083815656,Travis,Sanchez
29,4.2,m,6559226638,Earl,Anderson
21,7.73,m,1928624991,Antonio,Watts
19,7.55,f,8315423249,Katia,Cowan
29,5.97,f,7945914028,Michael,Routzahn
18,6.18,m,1200529830,Bertram,Eilerman
22,8.73,f,4801827610,Dianne,Lucero
28,4.7,f,1451913861,Barbara,Fine
25,6.18,f,6309390935,Betty,Ferreira
24,4.34,m,8911988497,Charles,Jimeson
27,4.33,f,8650710587,Marta,Wang
29,8.21,f,9506425179,Travis,Stanphill
24,6.39,m,7960263937,John,Ashley
28,7.08,m,6216083537,John,Merkel
20,9.64,f,5811179285,Josephine,Zechman
27,8.27,m,8185246853,Mark,Haven
28,7.19,f,8121435761,Carlos,London
30,7.62,f,5904982539,Annemarie,Keller
24,5.85,m,4383646111,Robert,Mccollough
21,8.63,m,2936348626,Harold,Slater
30,6.9,m,1474036692,Benjamin,Sykes
23,4.77,m,7755298230,Vickie,Potter
