student_name,age,average_mark,gender,phone_number
Willie Gray,22,8.6,m,6246471345
Phyllis Deloach,25,6.09,f,8037708245
Dewey Killingsworth,20,9.31,m,8803925100
Patricia Daniels,29,8.39,f,4472409941
Anne Mandrell,19,9.63,f,5054192772
Verdell Crawford,30,8.86,m,8643631427
Mario Lilley,24,5.78,m,8985151736
Francisco Jones,25,9.01,m,8418046706
Donald Laurent,29,4.34,m,3878412045
Denise Via,27,8.11,f,4260617373
Scott Lange,19,6.65,m,4217774633
Brenda Silva,30,7.53,f,3187348469
James Ross,29,6.72,m,6196133905
Kimberly Brown,18,7.05,f,9870085232
Heather Winnike,25,4.25,f,3788926313
Benjamin Getty,25,7.85,m,8087799941
Linda Crider,26,9.52,f,9184878376
Garrett Mitchell,18,4.01,m,9385193291
Thomas Roberts,28,5.28,m,7881594996
Pauline Montoya,29,9.09,f,5445933080
Georgia Wilson,27,6.52,f,2832611556
Roberta Kelly,23,8.09,f,3091173449
Johnny Jennings,22,7.54,m,9441885004
Sherry Grant,28,4.43,f,9858901568
Andrew Schmidt,29,7.55,m,6116837235
Carole Tewani,20,6.49,f,7805852643
Linda Miller,23,6.79,f,6402881759
Mary Glasser,30,9.77,f,5120417549
Ruby Greig,21,7.59,f,3844846365
Rosie Watkins,26,4.08,f,9241601427
Wilma Dominguez,26,6.94,f,4566942944
Daniel Youd,20,9.67,m,1336752220
Tamara Harris,24,9.92,f,5010540752
Arnoldo Ewert,24,9.54,m,3980798750
John Velazquez,18,8.5,m,2813317023
Audrey Camille,30,4.15,m,6716143273
Helen Klein,18,6.5,f,7778623354
Eric Ruegg,22,8.48,m,8439150246
Vera Charles,22,5.81,f,4626337186
Annie Sudbeck,28,9.85,f,5459343474
Michael Clark,20,5.8,m,8255548593
Rosa Thomas,30,4.17,f,3322765487
Daisy Granados,22,4.12,f,4921936291
Betty Mabry,18,5.74,f,3259731324
Bertha Gary,26,8.26,m,2965177678
Vickie Laigo,21,8.89,f,1937485306
Richard Grant,24,9.07,m,7330004243
Linda Harrison,27,9.96,f,1579591606
Phyllis Cole,18,5.31,f,9490198025
Devin Spencer,25,7.79,m,2628214851
George Guest,28,9.94,m,6367452828
Kim Pyles,30,9.87,f,3832419748
Kristin Dean,18,9.75,m,6060721336
Clarence Cantu,21,9.19,f,4236744613
Kenneth Evans,21,4.86,m,6638426503
Frank Borgeson,24,9.65,f,8213189156
Richard Grossman,24,8.42,f,6429782412
Ann White,29,4.26,m,9459978856
